52,ci(ui): set Playwright snapshotDir to tests/ui/__screenshots__,closed,chore/gates-playwright-k6-supervisor,main,2025-09-02T19:36:44Z,8917185bb51c865ea89bbf6ea9506f9205669e86
51,Chore/ci bootstrap gates,closed,chore/ci-bootstrap-gates,main,2025-09-02T19:20:11Z,7e6b35edea10adcf509908d84cb0efed98981282
50,ci: stabilize shared+api gates; prebuild shared; fix db tsconfig/impo…,closed,sprint/pr-24-openapi-gate,main,2025-09-02T19:20:13Z,06bfdb50da4c42d48f9f22e88396b208021f901f
49,docs(readme): refresh README with vision, security, gates and PR-0→PR-85 roadmap,closed,copilot/fix-10d1af1c-6298-4082-bd72-c3b1a31d6b89,main,2025-09-02T18:06:04Z,12e4c48aebb85eb794c137c5c5c0cfe73467a8bd
48,ci(gates): openapi checksum + route-linter + secrets preflight; chore…,closed,sprint/pr-24-openapi-gate,main,2025-09-02T17:07:47Z,84cbe9b551d6b71733fb546adcfa4e8fcda72d84
47,Last mile/v3 2 cockpit bff hil governance,closed,last-mile/v3_2-cockpit-bff-hil-governance,main,2025-09-02T15:30:56Z,9c213971b1cb4d6906825a22a1f2a3ecc4e392cc
46,ci(gates): add Playwright ≤2% + k6 smoke + VSCode tasks; chore(ui): a…,closed,ci/gates-ui-k6-and-tasks,main,2025-09-02T11:17:23Z,d5494000348f42a8a11fda185efcb5992a4a9d17
45,Ci/openapi gate and strict,closed,ci/openapi-gate-and-strict,main,2025-09-02T11:00:59Z,ab1bb1f344d6e0fa0b958b1bbe9fbb2af66fc3da
44,docs: añade prompt principal V3 (Azure-first) para guiar entregables …,closed,ci/ci-base,main,2025-09-02T10:22:07Z,1a47cd3ee3193ee3bbff170d5d3d9e91dd19d9ae
43,Ci/ci base,closed,ci/ci-base,main,2025-09-02T00:59:10Z,9949d05b270d391291fd5da479b16b8051d0eaa4
42,Ci/ci base,closed,ci/ci-base,main,2025-09-01T23:06:10Z,97354302634af5825a30ceb619847483c81f9823
41,Ci/ci base,closed,ci/ci-base,main,2025-09-01T22:01:35Z,6b0ff6c4d3bb5be1f3a68cd0e2657fb952e81e51
