"scope","var"
"process.env","SMTP_TO"
"process.env","SMTP_USER"
"process.env","STRIPE_API_KEY"
"process.env","STRIPE_SECRET_KEY"
"process.env","TEST_AGENT_WEBHOOK_KEY"
"process.env","TWILIO_ACCOUNT_SID"
"process.env","TWILIO_AUTH_TOKEN"
"process.env","TWILIO_PHONE_NUMBER"
"process.env","UPS_API_KEY"
"process.env","USE_LOCAL_MISTRAL"
"process.env","VAPID_PRIVATE_KEY"
"process.env","VAPID_PUBLIC_KEY"
"process.env","VAPID_SUBJECT"
"process.env","VONAGE_API_KEY"
"process.env","VONAGE_API_SECRET"
"process.env","WEBHOOK_SECRET"
"process.env","WEBSITE_HOSTNAME"
"process.env","WEBSITE_INSTANCE_ID"
"process.env","WEB_URL"
"process.env","WORKERS_URL"
"dotenv","MAKE_GATEWAY_BASE"
"dotenv","MAKE_TOKEN"
"dotenv","NEURA_GATEWAY_BASE"
"dotenv","NEURA_TOKEN"
"dotenv","PORT"
"client_secret_risk","MAKE_TOKEN"
"client_secret_risk","NEURA_TOKEN"
